sentPcktSize1,sentPcktSize2,sentPcktSize3,sentPcktSize4,sentPcktSize5,sentPcktSize6,sentPcktSize7,sentPcktSize8,sentPcktSize9,sentPcktSize10,rcvdPcktSize1,rcvdPcktSize2,rcvdPcktSize3,rcvdPcktSize4,rcvdPcktSize5,rcvdPcktSize6,rcvdPcktSize7,rcvdPcktSize8,rcvdPcktSize9,rcvdPcktSize10,label,sentInterPcktDelay1,sentInterPcktDelay2,sentInterPcktDelay3,sentInterPcktDelay4,sentInterPcktDelay5,sentInterPcktDelay6,sentInterPcktDelay7,sentInterPcktDelay8,sentInterPcktDelay9,rcvdInterPcktDelay1,rcvdInterPcktDelay2,rcvdInterPcktDelay3,rcvdInterPcktDelay4,rcvdInterPcktDelay5,rcvdInterPcktDelay6,rcvdInterPcktDelay7,rcvdInterPcktDelay8,rcvdInterPcktDelay9
760,174,558,478,488,174,574,398,174,558,52,52,52,52,52,52,52,52,52,52,nest-security-camera,0.01900029182434082,0.023999929428100586,0.03699994087219238,0.039999961853027344,0.032000064849853516,0.017000198364257812,0.026999711990356445,0.02500009536743164,0.019999980926513672,0.017999887466430664,0.02499985694885254,0.037000179290771484,0.03899979591369629,0.03299999237060547,0.016000032424926758,0.02700018882751465,0.02499985694885254,0.020000219345092773
40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,motion-sensor,5.0169997215271,5.01200008392334,5.011999845504762,5.01200008392334,5.016000032424927,5.016000032424927,5.015999794006348,5.01200008392334,5.012000322341919,5.009999990463257,5.01200008392334,5.013000011444092,5.013000011444092,5.0209999084472665,5.014999866485597,5.011000156402588,5.01200008392334,5.011999845504762
106,40,106,40,106,40,106,40,106,40,100,100,100,100,100,100,100,100,100,100,smart-bulb,0.1079998016357422,53.6080002784729,0.12199974060058595,54.06500005722046,0.06700015068054199,54.1159999370575,0.14800000190734866,54.02700018882752,0.08799982070922853,53.717000007629395,54.18799996376038,54.180999994277954,54.17499995231629,54.14299988746643,54.1800000667572,53.75099992752075,54.17300033569336,54.17799973487854
158,52,158,52,158,52,0,0,0,0,121,121,121,0,0,0,0,0,0,0,smart-plug,0.035000085830688484,235.8409998416901,0.021000146865844727,235.8600001335144,0.020999670028686523,600.0,600.0,600.0,600.0,235.864000082016,235.87999987602237,600.0,600.0,600.0,600.0,600.0,600.0,600.0
398,174,1228,398,174,398,174,558,398,462,52,52,52,52,52,52,52,52,52,52,nest-security-camera,0.09399986267089844,0.0279998779296875,0.019999980926513672,0.029000282287597656,0.02599978446960449,0.04200005531311035,0.024000167846679688,0.01399993896484375,0.026000022888183597,0.09500002861022948,0.028000354766845703,0.018999814987182617,0.029999971389770508,0.02500009536743164,0.0429997444152832,0.02300024032592773,0.01399993896484375,0.026000022888183597
40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,motion-sensor,5.01200008392334,5.015999794006348,5.01200008392334,5.013000011444092,5.016000032424927,5.01200008392334,5.011999845504762,5.016000032424927,5.01200008392334,5.011999845504762,5.016000032424927,5.01200008392334,5.012999773025513,5.015000104904175,5.01200008392334,5.015000104904175,5.013999938964844,5.0209999084472665
106,40,106,40,106,40,106,40,106,40,100,100,100,100,100,100,100,100,100,100,smart-bulb,0.14700007438659668,54.0169997215271,0.1120002269744873,54.07999992370606,0.13499999046325686,54.07100009918213,0.06199979782104492,54.13499999046326,0.09900021553039552,54.16300010681152,54.19199991226196,54.206000089645386,54.19700002670288,54.16699981689453,54.21399998664856,54.19099998474121,54.17400002479553,54.18499994277954
158,52,158,52,158,52,0,0,0,0,121,121,121,0,0,0,0,0,0,0,smart-plug,0.026999711990356445,235.8470001220703,0.021000146865844727,235.85399985313416,0.021000146865844727,600.0,600.0,600.0,600.0,235.87400007247925,235.875,600.0,600.0,600.0,600.0,600.0,600.0,600.0
174,382,478,398,142,866,174,542,462,398,52,52,52,52,52,52,52,52,52,52,nest-security-camera,0.019999980926513672,0.0409998893737793,0.026000261306762692,0.06699967384338379,0.01399993896484375,0.02200007438659668,0.04299998283386231,0.024000167846679688,0.023999929428100586,0.020999908447265625,0.039999961853027344,0.026000022888183597,0.06700015068054199,0.01399993896484375,0.02299976348876953,0.04200029373168945,0.023999929428100586,0.02499985694885254
40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,motion-sensor,5.015999794006348,5.016000032424927,5.016000032424927,5.01200008392334,5.011999845504762,5.016000032424927,5.016000032424927,5.016000032424927,5.011999845504762,5.0179998874664316,5.01200008392334,5.016000032424927,5.011999845504762,5.016000032424927,5.015000104904175,5.013999938964844,5.014999866485597,5.016000270843506
